_id,BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Geospatial Address,Geospatial Address,Building Address City,Building Address Zip  Code,Parcel Address,Parcel Address City,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Reported Enclosed Parking Area (Sq Ft),Largest Property Type,All Property Types and GFAs,Site EUI (Energy Use Intensity kBtu/ft2),Energy Star Score,Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Natural Gas Emissions (kgCO2e),Electricity Usage (kWh),Electricity Emissions (kgCO2e),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Hot Water Emissions (kgCO2e),District Chilled Water Usage (kBtu),District Chilled Water Emissions (kgCO2e),District Steam Usage (kBtu),District Steam Emissions (kgCO2e),Fuel Oil 1 Usage (kBtu),Fuel Oil 1 Emissions (kgCO2e),Fuel Oil 2 Usage (kBtu),Fuel Oil 2 Emissions (kgCO2e),Fuel Oil 4 Usage (kBtu),Fuel Oil 4 Emissions (kgCO2e),Fuel Oil 5 and 6 Usage (kBtu),Fuel Oil 5 and 6 Emissions (kgCO2e),Propane Usage (kBtu),Propane Emissions (kgCO2e),Diesel Usage (kBtu),Diesel Emissions (kgCO2e),Kerosene Usage (kBtu),Kerosene Emissions (kgCO2e),Water Usage Intensity (Gallons/ft2),Compliance Status,Estimated Total GHG Emissions (kgCO2e),First Emissions Compliance Year (Projected),Community Choice Electricity Participation,Renewable Energy Purchased through a Power Purchase Agreement (,Renewable Energy Certificate (REC) Purchase,Backup Generator,Battery Storage,Electric Vehicle (EV) Charging,Corresponding Campus ID,Notes
2315,103518,401882000,harvard college,250 longwood ave,250 longwood ave,,boston,2115,689  695 huntington av,boston,2115,92071,,College/University,College/University (92071.0),470.5,,43319056.5,15600,828.516,3658347,885319.974,,,,13822269.3,863891.831,16988129.9,1082143.875,,,,,,,,,,,10777.8,799.821,,,36.6,in compliance,2832984.017,2025,No,No,No,No,No,No,,
2316,103519,401882000,harvard college,25 shattuck st,25 shattuck st,,boston,2115,689  695 huntington av,boston,2115,72877,,College/University,College/University (72877.0),92.6,,6751385,,,948022.6,229421.469,,,,1773032,110814.5,1743700,111073.69,,,,,,,,,,,,,,,15.65,in compliance,451309.659,2025,No,No,No,No,No,No,,
2317,103520,401882000,harvard college,45 shattuck st,45 shattuck st,,boston,2115,689  695 huntington av,boston,2115,65450,,College/University,College/University (65450.0),234.2,,15330092.1,,,2043773,419259.593,,,,4488402,236538.785,3857160.1,256115.431,,,,,,,,,,,11178,829.519,,,18.08,in compliance,912743.328,2025,No,No,No,No,No,No,,
2318,103521,401882000,harvard college,190 longwood ave,190 longwood ave,,boston,2115,689  695 huntington av,boston,2115,70298,,College/University,College/University (70298.0),301.2,,21171477.4,400,21.244,1625579,393390.118,,,,6902987,431436.688,8705470,554538.439,,,,,,,,,,,16146,1198.195,,,7.09,in compliance,1380584.684,2025,No,No,No,No,No,No,,
2319,103522,401882000,harvard college,188 longwood ave,188 longwood ave,,boston,2115,689  695 huntington av,boston,2115,40251,,College/University,College/University (40251.0),220.3,,8868764,8500,451.435,954704.9,231038.586,,,,2183982,136498.875,3415020.1,217536.78,,,,,,,,,,,3808.8,282.651,,,33.21,in compliance,585808.327,2025,No,No,No,No,No,No,,
2320,103523,401882000,harvard college,210 longwood ave,210 longwood ave,,boston,2115,689  695 huntington av,boston,2115,134603,,College/University,College/University (134603.0),244.2,,32873241.3,98500,5231.335,2452181,593427.802,,,,13042949.2,815184.325,11364950.4,723947.34,,,,,,,,,,,,,,,18.96,in compliance,2137790.802,2025,No,No,No,No,No,No,,
2321,103524,401882000,harvard college,220 longwood ave,220 longwood ave,,boston,2115,689  695 huntington av,boston,2115,133352,,College/University,College/University (133352.0),284.9,,37987753.5,,,3032900,733961.8,,,,13114410.7,819650.669,14511839.7,924404.189,,,,,,,,,,,13248,983.134,,,18.95,in compliance,2478999.792,2025,No,No,No,No,No,No,,
2322,103525,401882000,harvard college,240 longwood ave,240 longwood ave,,boston,2115,689  695 huntington av,boston,2115,136269,,College/University,College/University (136269.0),192.3,,26210247.1,0,,2879529,696846.018,,,,8920173.9,557510.869,7451609.7,474667.538,,,,,,,,,,,13510.2,1002.592,,,21.63,in compliance,1730027.017,2025,No,No,No,No,No,No,,
4812,107134,401882000,harvard college,jeffrey modell immunology center,jeffrey modell immunology center,,boston,2115,689  695 huntington av,boston,2115,7000,,College/University,College/University (7000.0),276.8,,1937815.4,,,99290.3,24028.253,,,,1206026.9,75376.681,393010,25034.737,,,,,,,,,,,,,,,,in compliance,124439.671,2025,No,No,No,No,No,No,,
4635,106820,401895001,harvard college,10 shattuck st,10 shattuck st,,boston,2215,10 shattuck st,boston,2215,162771,,College/University,College/University (162771.0),176.8,,28770290.6,,,1856649,449309.058,,,,12324010.9,770250.681,10091770.6,642845.787,,,,,,,,,,,19623.6,1456.267,,,5.5,in compliance,1863861.793,2025,No,No,No,No,No,No,,
