_id,Property Name,Reported,Tax Parcel,Property Type,Address,Year Built
2000,,Not Compliant,2100873000,CONDO MAIN,10 32A GLENVILLE AV,
2001,,Not Compliant,2100044000,CONDO MAIN,137 PETERBOROUGH ST,
2002,,Not Compliant,2011957010,CONDO MAIN,5170 WASHINGTON ST,
2003,,Not Compliant,2009216001,CONDO MAIN,1210 1218 VFW PW,
2004,,Not Compliant,2009063010,CONDO MAIN,990 - 1100 VFW PW,
2005,,Not Compliant,2008448000,CONDO MAIN,293 297 TEMPLE ST,
2006,,Not Compliant,2007504000,CONDO MAIN,923 -955 LAGRANGE ST,
2007,,Not Compliant,2007013500,CONDO MAIN,44 BROADLAWN PK,
2008,,Not Compliant,2002929000,CONDO MAIN,4925 WASHINGTON ST,
2009,,Not Compliant,1902014000,CONDO MAIN,7 33 LAKEVILLE RD,
2010,,Not Compliant,1812152050,CONDO MAIN,1 WESTINGHOUSE PZ,
2011,,Not Compliant,1806810000,CONDO MAIN,800 790 HYDE PARK AV,
2012,,Not Compliant,1103322000,CONDO MAIN,171 SOUTH ST,
2013,,Not Compliant,1203393000,CONDO MAIN,135 TOWNSEND ST,
2014,,Not Compliant,401530000,CONDO MAIN,23 27 ST STEPHEN ST,
2015,,Not Compliant,1303045000,CONDO MAIN,950 DORCHESTER AV,
2016,,Not Compliant,1302562000,CONDO MAIN,5 10 LINDA LA,
2017,,Not Compliant,2102164000,CONDO MAIN,63 SUTHERLAND RD,
2018,,Not Compliant,2000386000,CONDO MAIN,6 HAYES RD,
2019,,Not Compliant,503698000,CONDO MAIN,520 BEACON ST,
2020,,Not Compliant,2100543000,CONDO MAIN,89 97 CHESTER ST,
2021,,Not Compliant,2010347000,CONDO MAIN,116 SPRING ST,
2022,,Not Compliant,1103762000,CONDO MAIN,29 41 MORTON ST,
2023,,Not Compliant,2202190000,CONDO MAIN,350 GLENCOE ST,
2024,,Not Compliant,1101935020,CONDO MAIN,43243 ELMORE ST,
2025,,Not Compliant,1807913000,CONDO MAIN,175 CLARE AV,
2026,,Not Compliant,2100968000,CONDO MAIN,69 QUINT AV,
2027,,Not Compliant,2102493000,CONDO MAIN,247 249 CHESTNUT HILL AV,
2028,,Not Compliant,2101457000,CONDO MAIN,15 19 WALBRIDGE ST,
2029,,Not Compliant,1100871010,CONDO MAIN,1542 R COLUMBUS AV,
2030,,Not Compliant,1002301000,CONDO MAIN,319 -329A CENTRE ST,
2031,,Not Compliant,1000319100,CONDO MAIN,80 - 82 FENWOOD RD,
2032,,Not Compliant,1000319010,CONDO MAIN,80- 82 FENWOOD RD,
2033,,Not Compliant,902416010,CONDO MAIN,10 WILLIAMS ST,
2034,,Not Compliant,801361005,CONDO MAIN,725 -735 HARRISON AV,
2035,,Not Compliant,1600656000,CONDO MAIN,60 GIBSON ST,
2036,,Not Compliant,604420000,CONDO MAIN,1 33 LENNON CT,
2037,,Not Compliant,801037000,CONDO MAIN,140 CUMMINGS ST,
2038,,Not Compliant,1603872000,CONDO MAIN,48 COFFEY ST,
2039,,Not Compliant,801592000,CONDO MAIN,687 - 697 MASSACHUSETTS AV,
2040,,Not Compliant,603733010,CONDO MAIN,881 E FIRST ST,
2041,,Not Compliant,603455000,CONDO MAIN,653 659 E SECOND ST,
2042,,Not Compliant,500697000,CONDO MAIN,9 APPLETON ST,
2043,,Not Compliant,602867010,CONDO MAIN,392 -412 W FIRST ST,
2044,,Not Compliant,303575000,CONDO MAIN,144 126 COMMERCIAL ST,
2045,,Not Compliant,601111000,CONDO MAIN,309 E ST,
2046,,Not Compliant,600223000,CONDO MAIN,2 W SIXTH ST,
2047,,Not Compliant,600007010,CONDO MAIN,9 W BROADWAY  ,
2048,,Not Compliant,304466000,CONDO MAIN,40 44 HARRISON AV,
2049,,Not Compliant,502641000,CONDO MAIN,280 BEACON ST,
2050,,Not Compliant,502566000,CONDO MAIN,100 BEACON ST,
2051,,Not Compliant,502282002,CONDO MAIN,20 26 CHARLES ST,
2052,,Not Compliant,501382000,CONDO MAIN,180 COMMONWEALTH AV,
2053,,Not Compliant,501260000,CONDO MAIN,90 COMMONWEALTH AV,
2054,,Not Compliant,501226000,CONDO MAIN,2 COMMONWEALTH AV,
2055,,Not Compliant,400945000,CONDO MAIN,25 7 FOLLEN ST,
2056,,Not Compliant,2205284000,CONDO MAIN,2031 2309 COMMONWEALTH AV,
2057,,Not Compliant,305346000,CONDO MAIN,121 123 BEACH ST,
2058,,Not Compliant,305344100,CONDO MAIN,109 119 BEACH ST,
2059,,Not Compliant,305336000,CONDO MAIN,210 216 LINCOLN ST,
2060,,Not Compliant,305263000,CONDO MAIN,74 68 HARRISON AV,
2061,,Not Compliant,304650000,CONDO MAIN,40 62 FRANKLIN ST,
2062,,Not Compliant,303547000,CONDO MAIN,45 63 ATLANTIC AV,
2063,,Not Compliant,302303010,CONDO MAIN,21 N BENNET ST,
2064,,Not Compliant,2010803000,CONDO MAIN,5269 A-529 WASHINGTON ST,
2065,,Not Compliant,300069000,CONDO MAIN,28 -32 DERNE ST,
2066,,Not Compliant,203511200,CONDO MAIN,38 THIRD AV,
2067,,Not Compliant,104128000,CONDO MAIN,320 MAVERICK ST,
2068,,Not Compliant,503916000,CONDO MAIN,466 464 COMMONWEALTH AV,
2069,,Not Compliant,400206000,CONDO MAIN,2 CLARENDON ST,
2070,,Not Compliant,2201907000,CONDO MAIN,15 GUEST ST,
2071,,Not Compliant,2201906010,CONDO MAIN,20 GUEST ST,
2072,,Not Compliant,2102476000,CONDO MAIN,1933 COMMONWEALTH AV,
2073,,Not Compliant,602833000,CONDO MAIN,437 D ST,
2074,,Not Compliant,304665000,CONDO MAIN,181 185 DEVONSHIRE ST,
2075,,Not Compliant,2101543000,CONDO MAIN,1258 1254 COMMONWEALTH AV,
2076,,Not Compliant,504150000,CONDO MAIN,645 635 BEACON ST,
2077,,Not Compliant,901335050,CONDO MAIN,951 961 TREMONT ST,
2078,,Not Compliant,2102529000,CONDO MAIN,32 24 SIDLAW RD,
2079,,Not Compliant,602669005,CONDO MAIN,15 33 SLEEPER ST / 33 Sleeper St ,
2080,,Not Compliant,1807263000,CONDO MAIN,1 -102 VICTORIA HEIGHTS RD,
2081,,Not Compliant,2203713000,CONDO MAIN,121 TREMONT ST,
2082,,Not Compliant,2204946000,CONDO MAIN,99 111 CHESTNUT HILL AV,
2083,,Not Compliant,2101539000,CONDO MAIN,59 BRAINERD RD,
2084,,Not Compliant,2007011200,CONDO MAIN,48 22 BRYON RD,
2085,,Not Compliant,602680150,CONDO MAIN,225 NORTHERN  AV,
2086,,Not Compliant,502442001,CONDO MAIN,145 PINCKNEY ST,
2087,,Not Compliant,2101986000,CONDO MAIN,41 67 COLBORNE RD,
2088,,Not Compliant,2012245000,CONDO MAIN,5050 WASHINGTON ST,
2089,,Not Compliant,2007012000,CONDO MAIN,46 20 WESTGATE RD,
2090,,Not Compliant,504253000,CONDO MAIN,63 69 PARK DR,
2091,,Not Compliant,602655010,CONDO MAIN,346 - 354 CONGRESS ST,
2092,,Not Compliant,600685010,CONDO MAIN,118 -130 TUDOR ST,
2093,,Not Compliant,504283000,CONDO MAIN,62 66 QUEENSBERRY ST,
2094,,Not Compliant,503644000,CONDO MAIN,483 479 BEACON ST,
2095,,Not Compliant,503289000,CONDO MAIN,324 332 BEACON ST,
2096,,Not Compliant,503015000,CONDO MAIN,90 82 MASSACHUSETTS AV,
2097,,Not Compliant,501312000,CONDO MAIN,265 275 DARTMOUTH ST,
2098,,Not Compliant,203690000,CONDO MAIN,88 58 MAIN ST,
2099,,Not Compliant,602753010,CONDO MAIN,21 WORMWOOD ST,
2100,,Not Compliant,300660016,CONDO MAIN,161 - 209 CAMBRIDGE ST,
2101,,Not Compliant,300660010,CONDO MAIN,161 209 CAMBRIDGE  ST,
