_id,BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Geospatial Address,Geospatial Address.1,Building Address City,Building Address Zip  Code,Parcel Address,Parcel Address City,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Reported Enclosed Parking Area (Sq Ft),Largest Property Type,All Property Types and GFAs,Site EUI (Energy Use Intensity kBtu/ft2),Energy Star Score,Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Natural Gas Emissions (kgCO2e),Electricity Usage (kWh),Electricity Emissions (kgCO2e),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Hot Water Emissions (kgCO2e),District Chilled Water Usage (kBtu),District Chilled Water Emissions (kgCO2e),District Steam Usage (kBtu),District Steam Emissions (kgCO2e),Fuel Oil 1 Usage (kBtu),Fuel Oil 1 Emissions (kgCO2e),Fuel Oil 2 Usage (kBtu),Fuel Oil 2 Emissions (kgCO2e),Fuel Oil 4 Usage (kBtu),Fuel Oil 4 Emissions (kgCO2e),Fuel Oil 5 and 6 Usage (kBtu),Fuel Oil 5 and 6 Emissions (kgCO2e),Propane Usage (kBtu),Propane Emissions (kgCO2e),Diesel Usage (kBtu),Diesel Emissions (kgCO2e),Kerosene Usage (kBtu),Kerosene Emissions (kgCO2e),Water Usage Intensity (Gallons/ft2),Compliance Status,Estimated Total GHG Emissions (kgCO2e),First Emissions Compliance Year (Projected),Community Choice Electricity Participation,Renewable Energy Purchased through a Power Purchase Agreement (,Renewable Energy Certificate (REC) Purchase,Backup Generator,Battery Storage,Electric Vehicle (EV) Charging,Corresponding Campus ID,Notes,Cluster_2,Cluster_3
2234,103346,801675000.0,grant manor lp mass lp,1810-1854 washington st,1810,1854 washington st,,2118.0,1854  1810 washington st,boston,2118,137893.0,,Multifamily Housing,Multifamily Housing (137893.0),74.6,40.0,10282376.32,7755015.8,411868.889,740727.0,151952.737,,,,,,,,,,,,,,,,,,,,,,50.54,in compliance,563821.626,2025.0,No,No,No,No,No,No,,,0.0,0.0
2235,103347,801675000.0,grant manor lp mass lp,20 e lenox st,20 e lenox st,20 e lenox st,,2118.0,1854  1810 washington st,boston,2118,42298.0,,Multifamily Housing,Multifamily Housing (42298.0),83.0,33.0,3508855.396,2825319.2,150052.703,200333.0,41096.312,,,,,,,,,,,,,,,,,,,,,,62.34,in compliance,191149.015,2025.0,No,No,No,No,No,No,,,0.0,0.0
3819,105697,801717010.0,,70-72 northampton st,70,72 northampton st,,2118.0,70  72 northampton st,boston,2118,27935.0,,Multifamily Housing,Multifamily Housing (27935.0),43.1,99.0,1203052.58,1034278.0,54930.505,49465.0,10147.25,,,,,,,,,,,,,,,,,,,,,,4.87,in compliance,65077.755,2030.0,No,No,No,No,No,No,,,1.0,1.0
4849,107178,801720100.0,boston public health comm,860 harrison ave,860 harrison ave,860 harrison ave,,2118.0,massachusetts av,boston,2118,259985.0,,Multifamily Housing,"Multifamily Housing (254414.0),Medical Office (5571.0)",49.0,,12750211.9,,,,0.0,,,,,,12750211.9,846614.07,,,,,,,,,,,,,,,,in compliance,846614.07,2025.0,Yes,No,No,No,Yes,Yes,C10048,,0.0,0.0
4936,107286,801877000.0,,1 newcomb st,1 newcomb st,1 newcomb st,,2118.0,,,,24665.0,,Multifamily Housing,Multifamily Housing (24665.0),32.2,99.0,793751.284,314597.3,16708.263,140432.0,28808.22,,,,,,,,,,,,,,,,,,,,,,29.95,pending revisions,45516.483,2030.0,I'm not sure,No,No,No,I'm not sure,I'm not sure,,,1.0,2.0
4250,106286,802041010.0,trustees boston university,815 albany st,815 albany st,815 albany st,,2119.0,817 albany st,boston,2119,102126.0,,Multifamily Housing,Multifamily Housing (102126.0),72.8,30.0,7431620.812,4003254.4,212612.841,1003551.0,205868.452,,,,,,,,,,,,,,,,,,4250.4,315.422,,,61.23,in compliance,418796.715,2025.0,No,Yes,No,No,No,No,,,1.0,1.0
5479,108030,802531000.0,,2-14 taber st,2,14 taber st,,2119.0,,,,46239.0,,Multifamily Housing,"Multifamily Housing (44239.0),Fitness Center/Health Club/Gym (2000.0)",25.4,100.0,1176686.808,473187.0,25130.962,206184.0,42296.586,,,,,,,,,,,,,,,,,,,,,,20.4,pending revisions,67427.548,2025.0,I'm not sure,No,No,No,I'm not sure,I'm not sure,,,0.0,0.0
1880,102802,802571000.0,,11 mount pleasant ave,11 mount pleasant ave,11 mount pleasant ave,,2119.0,11 mt pleasant av,boston,2119,23176.0,,Multifamily Housing,Multifamily Housing (23176.0),63.9,,1480580.82,979068.0,51998.301,146985.0,30152.503,,,,,,,,,,,,,,,,,,,,,,35.09,in compliance,82150.804,2030.0,No,No,No,No,No,No,,,1.0,1.0
2578,103955,802604000.0,jpndc  pitts  llc,22-24 greenville st,22,24 greenville st,,2119.0,22  24 greenville st,boston,2119,33310.0,,Multifamily Housing,Multifamily Housing (33310.0),17.2,100.0,571738.304,15012.5,797.314,163167.0,33472.078,,,,,,,,,,,,,,,,,,,,,,33.72,in compliance,34269.392,2030.0,No,No,No,No,No,No,,,0.0,0.0
5119,107554,802734000.0,,62 forest st,62 forest st,62 forest st,,2119.0,,,,21500.0,,Multifamily Housing,Multifamily Housing (21500.0),72.1,,1549180.312,1258901.0,66860.232,85076.0,17452.491,,,,,,,,,,,,,,,,,,,,,,50.92,in compliance,84312.723,2030.0,I'm not sure,No,No,No,I'm not sure,I'm not sure,,,0.0,0.0
5267,107764,900079000.0,,20 aguadilla st,20 aguadilla st,20 aguadilla st,,2118.0,,,,20923.0,,Multifamily Housing,Multifamily Housing (20923.0),76.4,77.0,1598407.449,1383164.5,73459.867,63084.1,12941.072,,,,,,,,,,,,,,,,,,,,,,65.91,in compliance,86400.939,2025.0,No,No,No,No,No,No,,,0.0,0.0
4475,106596,900080000.0,viviendas llc,100 w dedham st,100 w dedham st,100 w dedham st,,2118.0,100 w dedham st,boston,2118,63968.0,,Multifamily Housing,Multifamily Housing (63968.0),89.2,42.0,5705043.304,4418320.1,234656.981,377117.0,77361.781,,,,,,,,,,,,,,,,,,,,,,47.52,in compliance,312018.762,2025.0,No,No,No,No,No,No,,,0.0,0.0
